"","HHID","HHSPLITID","STATEID","DISTID","PSUID","NR8","Remittance","NR13B","NR10","NR5","Age","num_non_res","marital_status","relation_to_hh","INCOME","INCOMEPC","INCREMIT","hh_size","COPC","URBAN2011","edu_level","edu_num","Gender","married","unmarried","widowed","urban","non_resident_remits","hhY_minus_Remt","log_hhY_minus_Remt","states_numeric","EAG"
"1",20,1,"(01) Jammu & Kashmir 01",2,4,"(2) another state",50000,NA,"(16) Above Bachelors","(1) Male",35,1,"(2) Unmarried","(03) Son/Daughter",1486850,148685,50000,10,141561.59375,"(0) rural 0","Above Bachelors","6",1,0,1,0,0,TRUE,1436850,14.1779637754791,1,1
"2",10,1,"(01) Jammu & Kashmir 01",2,7,"(3) abroad",950000,NA,"(16) Above Bachelors","(1) Male",24,1,"(2) Unmarried","(03) Son/Daughter",2253200,563300,950000,4,156794.5,"(1) urban 1","Above Bachelors","6",1,0,1,0,1,TRUE,1303200,14.08033333627,1,1
"3",60,1,"(01) Jammu & Kashmir 01",3,2,"(2) another state",12000,NA,"(16) Above Bachelors","(1) Male",35,1,"(1) Married","(03) Son/Daughter",48000,48000,12000,1,98128,"(1) urban 1","Above Bachelors","6",1,1,0,0,1,TRUE,36000,10.4912742174382,1,1
"4",50,1,"(01) Jammu & Kashmir 01",3,4,"(2) another state",60000,NA,"(06) 6th class","(1) Male",30,2,"(2) Unmarried","(03) Son/Daughter",120000,30000,120000,4,37925.5,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,60000,11.0020998412042,1,1
"5",50,1,"(01) Jammu & Kashmir 01",3,4,"(2) another state",60000,NA,"(09) 9th class","(1) Male",28,2,"(2) Unmarried","(03) Son/Daughter",120000,30000,120000,4,37925.5,"(1) urban 1","Classes 6-10","2",1,0,1,0,1,TRUE,60000,11.0020998412042,1,1
"6",10,1,"(01) Jammu & Kashmir 01",3,7,"(2) another state",NA,96000,"(15) Bachelors","(1) Male",21,1,"(2) Unmarried","(03) Son/Daughter",156000,39000,NA,4,37993,"(1) urban 1","Bachelors","5",1,0,1,0,1,FALSE,156000,11.9576112862317,1,1
"7",30,1,"(01) Jammu & Kashmir 01",3,7,"(3) abroad",NA,2e+05,"(16) Above Bachelors","(1) Male",30,1,"(2) Unmarried","(03) Son/Daughter",180000,36000,NA,5,54268.3984375,"(1) urban 1","Above Bachelors","6",1,0,1,0,1,FALSE,180000,12.1007121298723,1,1
"8",70,1,"(01) Jammu & Kashmir 01",3,7,"(2) another state",NA,126000,"(15) Bachelors","(1) Male",22,1,"(2) Unmarried","(03) Son/Daughter",252000,84000,NA,3,113061.3359375,"(1) urban 1","Bachelors","5",1,0,1,0,1,FALSE,252000,12.4371843664936,1,1
"9",110,1,"(01) Jammu & Kashmir 01",3,9,"(2) another state",NA,12000,"(13) 1 year post-secondary","(1) Male",20,1,"(2) Unmarried","(03) Son/Daughter",218000,54500,NA,4,104992,"(1) urban 1","1-2 years post-secondary","4",1,0,1,0,1,FALSE,218000,12.2922503417712,1,1
"10",140,1,"(01) Jammu & Kashmir 01",3,9,"(3) abroad",50000,NA,"(16) Above Bachelors","(1) Male",32,1,"(1) Married","(03) Son/Daughter",650000,162500,50000,4,153756,"(1) urban 1","Above Bachelors","6",1,1,0,0,1,TRUE,6e+05,13.3046849341983,1,1
